"Category","Disease","Gene Symbol","Type","PMID","Source"
"Nervous System Diseases","Agenesis Corpus Callosum","TUBB3","mRNA","-","Brain Disease Knowledgebase"
"Nervous System Diseases","Alopecia with Mental Retardation","ITGB6","mRNA","-","Developmental Brain Disorders Database"
"Nervous System Diseases","Alpha-Thalassemia X-Linked Intellectual Disability Syndrome","ATRX","mRNA","-","Developmental Brain Disorders Database"
"Nervous System Diseases","Alternating Hemiplegia of Childhood","ATP1A3","mRNA","-","Developmental Brain Disorders Database"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC005017.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC005789.9","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC006277.2","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC008937.3","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC009312.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC011481.2","antisense","23419831  28183528  30636644  30979435  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC012100.2","antisense","24162737  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC018890.6","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC019131.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC021092.1","antisense","19118814  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC034228.2","antisense","25778476  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC034228.3","antisense","25778476  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC068189.2","antisense","24162737  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC069272.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC073254.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC083906.3","antisense","30636644  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC087500.1","antisense","24162737  30617256  31473137  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC095060.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC096667.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC105411.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC107959.1","antisense","29860282  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC116634.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC127496.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC243964.2","antisense","30979435  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL137789.1","antisense","25778476  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL138828.1","antisense","23535033  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL157777.1","antisense","30514930  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL355297.2","antisense","23419831  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL445433.2","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL512328.1","antisense","30514930  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL512631.1","antisense","24162737  25778476  28183528  30617256  30820047  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL512631.2","antisense","24162737  25778476  28183528  30617256  30820047  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AL844908.5","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AP000223.1","antisense","30636644  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AP000842.2","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AP000892.4","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AP001021.1","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AP001021.2","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AP001021.3","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AP001341.1","antisense","30636644  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","CTB-191K22.6","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","CTC-490G23.6","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","CTD-2303B20.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","CTD-2541J13.2","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","CTD-3187F8.2","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","LINC01671","antisense","26830138  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP1-111C20.4","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP1-34M23.5","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-122K13.7","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-126K1.8","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-129B22.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-146F11.5","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-164H13.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-190A12.10","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-219B17.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-247A12.2","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-276H1.3","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-2N1.2","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-309N17.4","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-335O13.7","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-342M3.5","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-423H2.3","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-452H21.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-505E24.2","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-517I3.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-558F24.4","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-58H20.3","antisense","25129075  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-613D13.5","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-624M8.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-689B22.2","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-6O2.4","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-798K3.2","antisense","25129075  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-809O17.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-814P5.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-830F9.6","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-887P2.5","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-930P14.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-961A15.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP11-977G19.11","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP13-516M14.10","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP3-467L1.4","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP4-622L5.7","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP4-728D4.2","antisense","25129075  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP4-745E8.2","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP4-761J14.9","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP5-1029K10.2","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","RP5-1169K15.1","antisense","30712078  ","EWAS Atlas"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","TMCC1-DT","antisense","30636644  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","IGHV2-70","IG_V_gene","24162737  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","51A","lncRNA","22996644  ","LncBook"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","ABCA7","lncRNA","21460840  21460841  23571587  24162737  30617256  31473137  33074286  ","GWAS Catalog"
"Central Nervous System Diseases; Mental Disorders","Alzheimer's Disease","AC000067.1","lncRNA","26830138  ","GWAS Catalog"
